NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,160.0,1750,0.0,0.0,40.0,22.0,21.0,18.0,584596.0,584599.0,610074.0,32.0,18.0,14.0,3.0,436583.0,436594.0,88259.0,4.0,0.0,3.0,0.0,75829.0,75832.0
10,230.0,1750,0.0,0.0,40.0,22.0,20.0,18.0,520025.0,520027.0,610074.0,32.0,18.0,13.0,2.0,383178.0,383189.0,88259.0,4.0,0.0,3.0,0.0,70772.0,70775.0
10,300.0,1750,0.0,0.0,40.0,22.0,14.0,12.0,450167.0,450169.0,610074.0,32.0,18.0,8.0,2.0,325440.0,325446.0,88259.0,4.0,0.0,2.0,0.0,64455.0,64457.0
10,370.0,1750,0.0,0.0,40.0,22.0,11.0,10.0,381765.0,381766.0,610074.0,32.0,18.0,5.0,1.0,270334.0,270338.0,88259.0,4.0,0.0,2.0,0.0,57228.0,57230.0
10,440.0,1750,0.0,0.0,40.0,22.0,10.0,9.0,320101.0,320102.0,610074.0,32.0,18.0,5.0,1.0,221540.0,221544.0,88259.0,4.0,0.0,2.0,0.0,50040.0,50042.0
10,510.0,1750,0.0,0.0,40.0,22.0,7.0,7.0,266157.0,266157.0,610074.0,32.0,18.0,3.0,0.0,179960.0,179963.0,88259.0,4.0,0.0,1.0,0.0,43180.0,43181.0
10,580.0,1750,0.0,0.0,40.0,22.0,6.0,6.0,222159.0,222159.0,610074.0,32.0,18.0,3.0,0.0,146837.0,146840.0,88259.0,4.0,0.0,1.0,0.0,37218.0,37219.0
10,650.0,1750,0.0,0.0,40.0,22.0,6.0,6.0,186786.0,186786.0,610074.0,32.0,18.0,3.0,0.0,120768.0,120771.0,88259.0,4.0,0.0,1.0,0.0,32154.0,32155.0
10,720.0,1750,0.0,0.0,40.0,22.0,5.0,5.0,158246.0,158246.0,610074.0,32.0,18.0,3.0,0.0,100270.0,100273.0,88259.0,4.0,0.0,0.0,0.0,27860.0,27860.0
10,790.0,1750,0.0,0.0,40.0,22.0,5.0,5.0,134981.0,134981.0,610074.0,32.0,18.0,3.0,0.0,83937.0,83940.0,88259.0,4.0,0.0,0.0,0.0,24181.0,24181.0
