NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,300,500,0.0,0,5782,2865,4588,2538,462053,464103,615339,2887,1912,1882,1155,337998,338725,87865,1912,966,1738,880,63876,64734
10,300,1750,0.0,0,5782,2865,4556,2526,448140,450170,615339,2887,1912,1852,1137,326460,327175,87865,1912,966,1736,880,62493,63349
10,300,1250,0.0,0,5782,2865,4586,2537,461320,463369,615339,2887,1912,1880,1154,337385,338111,87865,1912,966,1738,880,63803,64661
10,300,1500,0.0,0,5782,2865,4572,2530,456184,458226,615339,2887,1912,1866,1148,333100,333818,87865,1912,966,1738,880,63308,64166
10,300,750,0.0,0,5782,2865,4588,2538,462053,464103,615339,2887,1912,1882,1155,337998,338725,87865,1912,966,1738,880,63876,64734
10,300,1000,0.0,0,5782,2865,4588,2538,462052,464102,615339,2887,1912,1882,1155,337997,338724,87865,1912,966,1738,880,63876,64734
10,300,3000,0.0,0,5782,2865,4365,2464,394992,396893,615339,2887,1912,1706,1033,283922,284595,87865,1912,966,1691,857,56606,57440
10,300,2750,0.0,0,5782,2865,4410,2480,405828,407758,615339,2887,1912,1734,1052,292480,293162,87865,1912,966,1708,867,57868,58709
10,300,2500,0.0,0,5782,2865,4466,2502,416707,418671,615339,2887,1912,1777,1080,301076,301773,87865,1912,966,1721,872,59114,59963
10,300,2250,0.0,0,5782,2865,4499,2511,427712,429700,615339,2887,1912,1806,1102,309897,310601,87865,1912,966,1725,874,60316,61167
10,300,2000,0.0,0,5782,2865,4535,2520,438298,440313,615339,2887,1912,1835,1126,318416,319125,87865,1912,966,1732,877,61490,62345
10,300,3750,0.0,0,5782,2865,4216,2410,364405,366211,615339,2887,1912,1607,964,260333,260976,87865,1912,966,1641,835,52809,53615
10,300,3500,0.0,0,5782,2865,4271,2432,374264,376103,615339,2887,1912,1643,990,267936,268589,87865,1912,966,1660,840,54016,54836
10,300,3250,0.0,0,5782,2865,4315,2444,384421,386292,615339,2887,1912,1674,1012,275718,276380,87865,1912,966,1673,848,55293,56118
10,370,500,0.0,0,5782,2865,4230,2417,383961,385774,615339,2887,1912,1621,976,274469,275114,87865,1912,966,1648,827,55906,56727
10,370,750,0.0,0,5782,2865,4230,2417,383961,385774,615339,2887,1912,1621,976,274469,275114,87865,1912,966,1648,827,55906,56727
10,370,1750,0.0,0,5782,2865,4222,2416,380110,381916,615339,2887,1912,1614,970,271320,271964,87865,1912,966,1647,827,55486,56306
10,370,1250,0.0,0,5782,2865,4230,2417,383959,385772,615339,2887,1912,1621,976,274468,275113,87865,1912,966,1648,827,55906,56727
10,370,1000,0.0,0,5782,2865,4230,2417,383961,385774,615339,2887,1912,1621,976,274469,275114,87865,1912,966,1648,827,55906,56727
10,370,1500,0.0,0,5782,2865,4229,2417,383534,385346,615339,2887,1912,1620,975,274106,274751,87865,1912,966,1648,827,55874,56695
10,370,2000,0.0,0,5782,2865,4214,2413,374288,376089,615339,2887,1912,1606,965,266629,267270,87865,1912,966,1647,827,54863,55683
10,370,3250,0.0,0,5782,2865,4067,2356,334696,336407,615339,2887,1912,1500,893,235707,236314,87865,1912,966,1606,809,50062,50859
10,370,2750,0.0,0,5782,2865,4136,2387,351211,352960,615339,2887,1912,1543,919,248476,249100,87865,1912,966,1632,821,52121,52932
10,370,3000,0.0,0,5782,2865,4103,2372,342975,344706,615339,2887,1912,1523,908,242045,242660,87865,1912,966,1619,814,51129,51934
10,370,2500,0.0,0,5782,2865,4169,2399,359229,360999,615339,2887,1912,1568,937,254707,255338,87865,1912,966,1640,824,53110,53926
10,370,2250,0.0,0,5782,2865,4188,2407,367157,368938,615339,2887,1912,1583,946,260963,261600,87865,1912,966,1644,826,54031,54849
10,370,3500,0.0,0,5782,2865,4031,2346,326693,328378,615339,2887,1912,1476,876,229666,230266,87865,1912,966,1594,802,48999,49791
10,440,1000,0.0,0,5782,2865,3917,2313,318511,320115,615339,2887,1912,1403,820,222623,223206,87865,1912,966,1559,775,48407,49191
