cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,2017,65081686
lambdac_combined_momentum,0,0,2017,65081686
lambdac_charge,5,32530638,2012,32551048
lambdac_mass_limit,8,31693977,2004,857071
lambdac_vtx_chi2_ndof,38,800930,1966,56141
lambdac_vtx_chi2_distance,45,1024,1921,55117
lambdac_vtx_dira,101,26736,1820,28381
lambdac_final_mass_cut,15,22720,1805,5661
xi_track_cuts,0,0,833,2834095
xi_miss_combo,0,0,833,2834095
xi_charge_conservation,0,0,833,2834095
xi_charge,405,2082950,428,751145
xi_minimum_momentum,0,0,428,751145
xi_mass,0,730257,428,20888
xi_vtx_chi2_ndof,86,14855,342,6033
xi_vtx_chi2_distance,5,62,337,5971
xi_vtx_dira,0,0,337,5971
xi_final_mass,0,4225,337,3939
