cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,2017,65081686,1.0,0.4034,3.099086110696559e-05
lambdac_mass_limit,8,31693977,2004,857071,0.9960238568588469,0.4008,0.0023327416116171464
lambdac_vtx_chi2_ndof,23,783243,1981,73828,0.9885229540918163,0.3962,0.026131461963619096
lambdac_vtx_chi2_distance,30,812,1951,73016,0.9848561332660273,0.3902,0.026024784238398227
lambdac_vtx_dira,104,35640,1847,37376,0.946694003075346,0.3694,0.04708971776763633
lambdac_final_mass_cut,16,29817,1831,7559,0.9913373037357878,0.3662,0.19499467518636848
xi_track_cuts,0,0,846,3600433,1.0,0.1692,0.00023491653937392798
xi_mass,0,1740607,846,116007,1.0,0.1692,0.007239865472003286
xi_vtx_chi2_ndof,72,84612,774,31395,0.9148936170212766,0.1548,0.024060430849575678
xi_vtx_chi2_distance,10,192,764,31203,0.9870801033591732,0.1528,0.023899646510463914
xi_vtx_dira,0,0,764,31203,1.0,0.1528,0.023899646510463914
xi_final_mass,0,26629,764,19389,1.0,0.1528,0.0379099885873071
