cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,933,5521986,1.0,0.1866,0.00016893240693915664
lambdac_mass_limit,7,2614716,925,147828,0.9924892703862661,0.185,0.006218361982615476
lambdac_vtx_chi2_ndof,21,140128,904,7700,0.9772972972972973,0.1808,0.10506741050674105
lambdac_vtx_chi2_distance,4,28,900,7672,0.995575221238938,0.18,0.10499300046663555
lambdac_vtx_dira,18,3501,882,4171,0.98,0.1764,0.17454977241242825
lambdac_final_mass_cut,8,3295,874,876,0.9909297052154195,0.1748,0.49942857142857144
xi_track_cuts,0,0,426,799884,1.0,0.0852,0.0005322937361772314
xi_mass,0,207830,259,11365,1.0,0.0518,0.02228148657949071
xi_vtx_chi2_ndof,91,9404,168,1961,0.6486486486486487,0.0336,0.07891028651949272
xi_vtx_chi2_distance,1,14,167,1947,0.9940476190476191,0.0334,0.07899716177861874
xi_vtx_dira,0,0,167,1947,1.0,0.0334,0.07899716177861874
xi_final_mass,0,1354,167,1236,1.0,0.0334,0.11903064861012116
