cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,2017,65081686
lambdac_combined_momentum,0,0,2017,65081686
lambdac_charge,5,32530638,2012,32551048
lambdac_mass_limit,8,31693977,2004,857071
lambdac_vtx_chi2_ndof,31,794549,1973,62522
lambdac_vtx_chi2_distance,36,954,1937,61568
lambdac_vtx_dira,1937,61568,0,0
lambdac_final_mass_cut,0,0,0,0
xi_track_cuts,0,0,0,0
xi_miss_combo,0,0,0,0
xi_charge_conservation,0,0,0,0
xi_charge,0,0,0,0
xi_minimum_momentum,0,0,0,0
xi_mass,0,0,0,0
xi_vtx_chi2_ndof,0,0,0,0
xi_vtx_chi2_distance,0,0,0,0
xi_vtx_dira,0,0,0,0
xi_final_mass,0,0,0,0
