cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,39915,1317396256
lambdac_combined_momentum,0,0,39915,1317396256
lambdac_charge,178,658464238,39737,658932018
lambdac_mass_limit,231,641532364,39506,17399654
lambdac_vtx_chi2_ndof,464,15793894,39042,1605760
lambdac_vtx_chi2_distance,494,16513,38548,1589247
lambdac_vtx_dira,2161,771843,36387,817404
lambdac_final_mass_cut,378,648139,36009,169265
xi_track_cuts,0,0,16832,79822949
xi_miss_combo,0,0,16832,79822949
xi_charge_conservation,0,0,16832,79822949
xi_charge,1,38790730,16831,41032219
xi_minimum_momentum,0,0,16831,41032219
xi_mass,2,38452927,16829,2579292
xi_vtx_chi2_ndof,1506,1932161,15323,647131
xi_vtx_chi2_distance,51,1386,15272,645745
xi_vtx_dira,0,0,15272,645745
xi_final_mass,16,553262,15266,401898
