cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,39915,1317396256,1.0,0.3993296983642639,3.0297483004206965e-05
lambdac_mass_limit,231,641532364,39506,17399654,0.9941867780657825,0.39523785703566605,0.0022653614050218017
lambdac_vtx_chi2_ndof,464,15793894,39042,1605760,0.9882549486154002,0.39059576809564306,0.02373659565102669
lambdac_vtx_chi2_distance,494,16513,38548,1589247,0.9873469596844424,0.3856535440948427,0.02368111463667108
lambdac_vtx_dira,2161,771843,36387,817404,0.9439400228286812,0.3640338152168476,0.04261815830806368
lambdac_final_mass_cut,378,648139,36009,169265,0.9896116744991343,0.36025211345105296,0.17541919580658047
xi_track_cuts,0,0,16832,79822949,1.0,0.16839577810014505,0.0002108222215689695
xi_mass,2,38452927,16829,2579292,0.9998811716475551,0.16836576459406732,0.006482363495384075
xi_vtx_chi2_ndof,1506,1932161,15323,647131,0.9105116168518629,0.15329898454304436,0.02313066265733168
xi_vtx_chi2_distance,51,1386,15272,645745,0.9966716700385042,0.15278875493972288,0.02310379309458002
xi_vtx_dira,0,0,15272,645745,1.0,0.15278875493972288,0.02310379309458002
xi_final_mass,16,553262,15266,401898,0.9989530166208611,0.1527287279275674,0.03659472054156159
