cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,38185,1638241797,1.0,0.3880155673654368,2.330798179770471e-05
lambdac_mass_limit,237,798116847,37771,21275048,0.9937644706377605,0.383808720569855,0.0017722198081821087
lambdac_vtx_chi2_ndof,448,18224094,37323,3050954,0.9881390484763443,0.3792563839408196,0.012085379646968196
lambdac_vtx_chi2_distance,7721,885961,29602,2164993,0.7931302414061034,0.3007997073497881,0.013488593567378035
lambdac_vtx_dira,674,1071070,28928,1093923,0.9772312681575569,0.29395087947485543,0.025762990815344156
lambdac_final_mass_cut,569,867534,28359,226389,0.9803304756637168,0.2881690054973529,0.11132177681473455
xi_track_cuts,0,0,13418,140084629,1.0,0.13634654662588533,9.577578194219938e-05
xi_mass,3,66667249,13414,5116772,0.9997764030707311,0.13630590076312607,0.002614720012100926
xi_vtx_chi2_ndof,1152,4208872,12262,907900,0.9141195765618011,0.12459989228846369,0.01332591434986448
xi_vtx_chi2_distance,279,16911,11983,890989,0.9772467786657968,0.12176484336100639,0.013270621901897291
xi_vtx_dira,0,0,11983,890989,1.0,0.12176484336100639,0.013270621901897291
xi_final_mass,15,766350,11980,596095,0.9987494789495623,0.12173435896393696,0.01970151708259672
