cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,39121,1460180635
lambdac_combined_momentum,0,0,39121,1460180635
lambdac_charge,186,729810927,38935,730369708
lambdac_mass_limit,240,711310921,38695,19058787
lambdac_vtx_chi2_ndof,368,16722951,38327,2335836
lambdac_vtx_chi2_distance,7908,773841,30419,1561995
lambdac_vtx_dira,655,767034,29764,794961
lambdac_final_mass_cut,575,630968,29189,163993
xi_track_cuts,0,0,13923,91311939
xi_miss_combo,0,0,13923,91311939
xi_charge_conservation,0,0,13923,91311939
xi_charge,0,44472331,13923,46839608
xi_minimum_momentum,0,0,13923,46839608
xi_mass,4,43612941,13919,3226667
xi_vtx_chi2_ndof,1159,2617537,12760,609130
xi_vtx_chi2_distance,313,12096,12447,597034
xi_vtx_dira,0,0,12447,597034
xi_final_mass,13,512463,12442,389220
