NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalTrueXiLcDaughterTracks,#1.TotalXiccppTracks,#1.TotalXiLcDaughterTracks,#1.TotalBackgroundTracks,#1.TotalXiLcBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalTrueBachelorPionTracks,#2.TotalXiccppPions,#2.TotalBachelorPionTracks,#2.TotalBackgroundPions,#2.TotalBachelorPionBackgroundTracks,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalTrueBachelorKaonTracks,#3.TotalXiccppKaons,#3.TotalBachelorKaonTracks,#3.TotalBackgroundKaons,#3.TotalBackgroundBachelorKaons
10,230.0,500,0.0,0.0,4744.0,2828.0,4297.0,2626.0,553951.0,555622.0,616741.0,1893.0,937.0,1551.0,754.0,414071.0,414868.0,88502.0,1884.0,946.0,1789.0,901.0,72087.0,72975.0
10,300.0,500,0.0,0.0,4744.0,2828.0,4046.0,2506.0,464187.0,465727.0,616741.0,1893.0,937.0,1384.0,665.0,339457.0,340176.0,88502.0,1884.0,946.0,1713.0,862.0,64187.0,65038.0
10,370.0,500,0.0,0.0,4744.0,2828.0,3844.0,2414.0,385364.0,386794.0,616741.0,1893.0,937.0,1260.0,601.0,275488.0,276147.0,88502.0,1884.0,946.0,1641.0,817.0,55933.0,56757.0
10,440.0,500,0.0,0.0,4744.0,2828.0,3601.0,2285.0,319342.0,320658.0,616741.0,1893.0,937.0,1124.0,532.0,223172.0,223764.0,88502.0,1884.0,946.0,1553.0,775.0,48382.0,49160.0
10,510.0,500,0.0,0.0,4744.0,2828.0,3384.0,2157.0,265009.0,266236.0,616741.0,1893.0,937.0,1021.0,484.0,181076.0,181613.0,88502.0,1884.0,946.0,1457.0,736.0,41637.0,42358.0
10,580.0,500,0.0,0.0,4744.0,2828.0,3133.0,2021.0,220766.0,221878.0,616741.0,1893.0,937.0,897.0,426.0,147664.0,148135.0,88502.0,1884.0,946.0,1349.0,680.0,35684.0,36353.0
10,650.0,500,0.0,0.0,4744.0,2828.0,2913.0,1894.0,185100.0,186119.0,616741.0,1893.0,937.0,790.0,378.0,121353.0,121765.0,88502.0,1884.0,946.0,1264.0,637.0,30702.0,31329.0
10,720.0,500,0.0,0.0,4744.0,2828.0,2696.0,1781.0,156394.0,157309.0,616741.0,1893.0,937.0,698.0,326.0,100562.0,100934.0,88502.0,1884.0,946.0,1163.0,585.0,26505.0,27083.0
10,790.0,500,0.0,0.0,4744.0,2828.0,2513.0,1678.0,133188.0,134023.0,616741.0,1893.0,937.0,619.0,288.0,84106.0,84437.0,88502.0,1884.0,946.0,1088.0,544.0,22986.0,23530.0
10,860.0,500,0.0,0.0,4744.0,2828.0,2300.0,1565.0,113993.0,114728.0,616741.0,1893.0,937.0,534.0,243.0,70826.0,71117.0,88502.0,1884.0,946.0,990.0,490.0,19959.0,20459.0
10,930.0,500,0.0,0.0,4744.0,2828.0,2118.0,1451.0,98098.0,98765.0,616741.0,1893.0,937.0,476.0,209.0,60086.0,60353.0,88502.0,1884.0,946.0,905.0,456.0,17358.0,17807.0
10,1000.0,500,0.0,0.0,4744.0,2828.0,1958.0,1354.0,85136.0,85740.0,616741.0,1893.0,937.0,422.0,186.0,51350.0,51586.0,88502.0,1884.0,946.0,830.0,416.0,15268.0,15682.0
10,230.0,750,0.0,0.0,4744.0,2828.0,4297.0,2626.0,553949.0,555620.0,616741.0,1893.0,937.0,1551.0,754.0,414069.0,414866.0,88502.0,1884.0,946.0,1789.0,901.0,72087.0,72975.0
10,300.0,750,0.0,0.0,4744.0,2828.0,4046.0,2506.0,464187.0,465727.0,616741.0,1893.0,937.0,1384.0,665.0,339457.0,340176.0,88502.0,1884.0,946.0,1713.0,862.0,64187.0,65038.0
10,370.0,750,0.0,0.0,4744.0,2828.0,3844.0,2414.0,385364.0,386794.0,616741.0,1893.0,937.0,1260.0,601.0,275488.0,276147.0,88502.0,1884.0,946.0,1641.0,817.0,55933.0,56757.0
10,440.0,750,0.0,0.0,4744.0,2828.0,3601.0,2285.0,319342.0,320658.0,616741.0,1893.0,937.0,1124.0,532.0,223172.0,223764.0,88502.0,1884.0,946.0,1553.0,775.0,48382.0,49160.0
10,510.0,750,0.0,0.0,4744.0,2828.0,3384.0,2157.0,265009.0,266236.0,616741.0,1893.0,937.0,1021.0,484.0,181076.0,181613.0,88502.0,1884.0,946.0,1457.0,736.0,41637.0,42358.0
10,580.0,750,0.0,0.0,4744.0,2828.0,3133.0,2021.0,220766.0,221878.0,616741.0,1893.0,937.0,897.0,426.0,147664.0,148135.0,88502.0,1884.0,946.0,1349.0,680.0,35684.0,36353.0
10,650.0,750,0.0,0.0,4744.0,2828.0,2913.0,1894.0,185100.0,186119.0,616741.0,1893.0,937.0,790.0,378.0,121353.0,121765.0,88502.0,1884.0,946.0,1264.0,637.0,30702.0,31329.0
10,720.0,750,0.0,0.0,4744.0,2828.0,2696.0,1781.0,156394.0,157309.0,616741.0,1893.0,937.0,698.0,326.0,100562.0,100934.0,88502.0,1884.0,946.0,1163.0,585.0,26505.0,27083.0
10,790.0,750,0.0,0.0,4744.0,2828.0,2513.0,1678.0,133188.0,134023.0,616741.0,1893.0,937.0,619.0,288.0,84106.0,84437.0,88502.0,1884.0,946.0,1088.0,544.0,22986.0,23530.0
10,860.0,750,0.0,0.0,4744.0,2828.0,2300.0,1565.0,113993.0,114728.0,616741.0,1893.0,937.0,534.0,243.0,70826.0,71117.0,88502.0,1884.0,946.0,990.0,490.0,19959.0,20459.0
10,930.0,750,0.0,0.0,4744.0,2828.0,2118.0,1451.0,98098.0,98765.0,616741.0,1893.0,937.0,476.0,209.0,60086.0,60353.0,88502.0,1884.0,946.0,905.0,456.0,17358.0,17807.0
10,1000.0,750,0.0,0.0,4744.0,2828.0,1958.0,1354.0,85136.0,85740.0,616741.0,1893.0,937.0,422.0,186.0,51350.0,51586.0,88502.0,1884.0,946.0,830.0,416.0,15268.0,15682.0
10,230.0,3750,0.0,0.0,4744.0,2828.0,3939.0,2457.0,410983.0,412465.0,616741.0,1893.0,937.0,1300.0,624.0,298598.0,299274.0,88502.0,1884.0,946.0,1684.0,850.0,57017.0,57851.0
10,300.0,3750,0.0,0.0,4744.0,2828.0,3785.0,2379.0,365776.0,367182.0,616741.0,1893.0,937.0,1205.0,573.0,261519.0,262151.0,88502.0,1884.0,946.0,1633.0,826.0,52823.0,53630.0
10,370.0,3750,0.0,0.0,4744.0,2828.0,3652.0,2315.0,319536.0,320873.0,616741.0,1893.0,937.0,1138.0,541.0,224376.0,224973.0,88502.0,1884.0,946.0,1573.0,789.0,47826.0,48610.0
10,440.0,3750,0.0,0.0,4744.0,2828.0,3452.0,2209.0,276382.0,277625.0,616741.0,1893.0,937.0,1031.0,485.0,190466.0,191012.0,88502.0,1884.0,946.0,1499.0,753.0,42746.0,43492.0
10,510.0,3750,0.0,0.0,4744.0,2828.0,3282.0,2107.0,237841.0,239016.0,616741.0,1893.0,937.0,962.0,454.0,160762.0,161270.0,88502.0,1884.0,946.0,1415.0,717.0,37882.0,38580.0
10,580.0,3750,0.0,0.0,4744.0,2828.0,3066.0,1988.0,204306.0,205384.0,616741.0,1893.0,937.0,860.0,408.0,135599.0,136051.0,88502.0,1884.0,946.0,1320.0,667.0,33307.0,33960.0
10,650.0,3750,0.0,0.0,4744.0,2828.0,2878.0,1877.0,175700.0,176701.0,616741.0,1893.0,937.0,770.0,368.0,114611.0,115013.0,88502.0,1884.0,946.0,1249.0,630.0,29270.0,29889.0
10,720.0,3750,0.0,0.0,4744.0,2828.0,2679.0,1770.0,151385.0,152294.0,616741.0,1893.0,937.0,687.0,323.0,97022.0,97386.0,88502.0,1884.0,946.0,1157.0,583.0,25722.0,26296.0
