NumFiles,MinPT,MinP,MinIPChi2,#LambdaCandidates,#Lambdas,#XiLambdas,#XiKaons,#XiPions,#Xis,#Pion,#Kaon,#Proton
10,300.0,750,0.5,172065792,421,412,450,566,129,215.0,51.0,38.0
10,370.0,750,0.5,110954086,400,392,421,491,86,171.0,42.0,33.0
10,440.0,750,0.5,69868773,382,374,396,408,58,131.0,39.0,29.0
10,510.0,750,0.5,43618118,350,344,355,349,42,103.0,32.0,27.0
10,580.0,750,0.5,27421413,321,316,311,284,24,93.0,29.0,23.0
10,650.0,750,0.5,17323934,290,288,286,234,21,78.0,25.0,19.0
10,720.0,750,0.5,11072742,249,248,248,198,12,71.0,21.0,18.0
10,790.0,750,0.5,7162269,221,220,215,162,8,64.0,21.0,15.0
10,860.0,750,0.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,750,0.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,750,0.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,500,0.5,172065792,421,412,450,566,129,215.0,51.0,38.0
10,370.0,500,0.5,110954086,400,392,421,491,86,171.0,42.0,33.0
10,440.0,500,0.5,69868773,382,374,396,408,58,131.0,39.0,29.0
10,510.0,500,0.5,43618118,350,344,355,349,42,103.0,32.0,27.0
10,580.0,500,0.5,27421413,321,316,311,284,24,93.0,29.0,23.0
10,650.0,500,0.5,17323934,290,288,286,234,21,78.0,25.0,19.0
10,720.0,500,0.5,11072742,249,248,248,198,12,71.0,21.0,18.0
10,790.0,500,0.5,7162269,221,220,215,162,8,64.0,21.0,15.0
10,860.0,500,0.5,4727794,197,196,191,137,6,54.0,19.0,15.0
10,930.0,500,0.5,3178691,164,163,172,119,5,43.0,14.0,14.0
10,1000.0,500,0.5,2153288,144,143,157,93,4,42.0,12.0,13.0
10,300.0,2000,0.5,151985802,419,411,449,551,126,199.0,50.0,38.0
10,370.0,2000,0.5,104439548,399,392,421,485,84,164.0,42.0,33.0
10,440.0,2000,0.5,68559911,382,374,396,406,58,128.0,39.0,29.0
10,510.0,2000,0.5,43574523,350,344,355,348,42,103.0,32.0,27.0
10,580.0,2000,0.5,27421413,321,316,311,284,24,93.0,29.0,23.0
10,650.0,2000,0.5,17323934,290,288,286,234,21,78.0,25.0,19.0
10,720.0,2000,0.5,11072742,249,248,248,198,12,71.0,21.0,18.0
10,790.0,2000,0.5,7162269,221,220,215,162,8,64.0,21.0,15.0
10,860.0,2000,0.5,4727794,197,196,191,137,6,54.0,19.0,15.0
