NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalXiccppTracks,#1.TotalBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalXiccppPions,#2.TotalBackgroundPions,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalXiccppKaons,#3.TotalBackgroundKaons
10,300,3250,0.0,0,5874,4378,389854,622662,2926,1687,279786,88970,1949,1708,56073
10,300,3000,0.0,0,5874,4429,400337,622662,2926,1719,287930,88970,1949,1727,57370
10,300,2750,0.0,0,5874,4475,411226,622662,2926,1747,296510,88970,1949,1745,58639
10,300,2500,0.0,0,5874,4531,422084,622662,2926,1792,305100,88970,1949,1756,59873
10,300,2250,0.0,0,5874,4565,433095,622662,2926,1821,313911,88970,1949,1761,61094
10,300,2000,0.0,0,5874,4599,443701,622662,2926,1849,322458,88970,1949,1767,62264
10,300,1750,0.0,0,5874,4621,453483,622662,2926,1867,330459,88970,1949,1771,63254
10,300,1000,0.0,0,5874,4652,467415,622662,2926,1896,342017,88970,1949,1773,64644
10,300,1250,0.0,0,5874,4650,466681,622662,2926,1894,341405,88970,1949,1773,64570
10,300,500,0.0,0,5874,4652,467415,622662,2926,1896,342017,88970,1949,1773,64644
10,300,1500,0.0,0,5874,4638,461557,622662,2926,1882,337127,88970,1949,1773,64077
10,300,750,0.0,0,5874,4652,467415,622662,2926,1896,342017,88970,1949,1773,64644
10,300,3750,0.0,0,5874,4280,369865,622662,2926,1622,264416,88970,1949,1676,53602
10,370,750,0.0,0,5874,4293,388456,622662,2926,1638,277745,88970,1949,1680,56572
10,370,500,0.0,0,5874,4293,388456,622662,2926,1638,277745,88970,1949,1680,56572
10,300,3500,0.0,0,5874,4334,379676,622662,2926,1654,271979,88970,1949,1697,54805
10,370,1000,0.0,0,5874,4293,388456,622662,2926,1638,277745,88970,1949,1680,56572
10,370,2250,0.0,0,5874,4251,371685,622662,2926,1599,264268,88970,1949,1677,54697
10,370,2000,0.0,0,5874,4275,378821,622662,2926,1621,269955,88970,1949,1679,55522
10,370,1750,0.0,0,5874,4285,384587,622662,2926,1631,274587,88970,1949,1679,56142
10,370,1250,0.0,0,5874,4293,388454,622662,2926,1638,277744,88970,1949,1680,56572
10,370,1500,0.0,0,5874,4292,388048,622662,2926,1637,277401,88970,1949,1680,56540
10,370,3500,0.0,0,5874,4093,331205,622662,2926,1490,232978,88970,1949,1628,49668
10,370,3250,0.0,0,5874,4130,339244,622662,2926,1518,239043,88970,1949,1637,50733
10,370,3000,0.0,0,5874,4165,347429,622662,2926,1540,245314,88970,1949,1650,51783
10,370,2750,0.0,0,5874,4200,355732,622662,2926,1561,251780,88970,1949,1664,52786
10,370,2500,0.0,0,5874,4231,363733,622662,2926,1584,258012,88970,1949,1672,53756
10,440,750,0.0,0,5874,3966,322187,622662,2926,1410,225254,88970,1949,1587,48996
10,370,3750,0.0,0,5874,4055,323349,622662,2926,1467,227005,88970,1949,1613,48678
10,440,1000,0.0,0,5874,3966,322187,622662,2926,1410,225254,88970,1949,1587,48996
10,440,500,0.0,0,5874,3966,322187,622662,2926,1410,225254,88970,1949,1587,48996
10,440,1250,0.0,0,5874,3966,322187,622662,2926,1410,225254,88970,1949,1587,48996
10,440,2750,0.0,0,5874,3911,304440,622662,2926,1365,211392,88970,1949,1577,46797
10,440,2500,0.0,0,5874,3934,310130,622662,2926,1382,215762,88970,1949,1583,47520
10,440,2250,0.0,0,5874,3944,315442,622662,2926,1388,219921,88970,1949,1587,48184
10,440,1750,0.0,0,5874,3966,321970,622662,2926,1410,225077,88970,1949,1587,48973
10,440,2000,0.0,0,5874,3962,319613,622662,2926,1406,223198,88970,1949,1587,48709
10,440,1500,0.0,0,5874,3966,322186,622662,2926,1410,225253,88970,1949,1587,48996
10,440,3000,0.0,0,5874,3884,298271,622662,2926,1350,206642,88970,1949,1565,46012
10,440,3250,0.0,0,5874,3858,292056,622662,2926,1334,201943,88970,1949,1555,45170
10,440,3750,0.0,0,5874,3798,279701,622662,2926,1293,192725,88970,1949,1536,43508
10,440,3500,0.0,0,5874,3826,285874,622662,2926,1311,197359,88970,1949,1546,44316
10,510,750,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,500,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,1000,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,1250,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,1500,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,1750,0.0,0,5874,3660,267386,622662,2926,1231,182961,88970,1949,1473,42181
10,510,2000,0.0,0,5874,3659,267270,622662,2926,1230,182865,88970,1949,1473,42171
10,510,2250,0.0,0,5874,3653,265668,622662,2926,1224,181641,88970,1949,1473,41951
10,510,2750,0.0,0,5874,3632,258981,622662,2926,1209,176476,88970,1949,1467,41104
10,510,2500,0.0,0,5874,3649,262672,622662,2926,1221,179313,88970,1949,1472,41575
10,510,3250,0.0,0,5874,3594,250068,622662,2926,1190,169774,88970,1949,1448,39886
10,510,3000,0.0,0,5874,3614,254615,622662,2926,1201,173178,88970,1949,1457,40513
10,580,500,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,510,3500,0.0,0,5874,3568,245429,622662,2926,1171,166388,88970,1949,1441,39210
10,510,3750,0.0,0,5874,3544,240661,622662,2926,1154,162872,88970,1949,1434,38547
10,580,750,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,1000,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,1250,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,1500,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,1750,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,2000,0.0,0,5874,3315,223259,622662,2926,1036,149507,88970,1949,1348,36340
10,580,2250,0.0,0,5874,3315,223197,622662,2926,1036,149463,88970,1949,1348,36329
