NumFiles,MinPT,MinP,MinIPChi2,#1.TotalTrueXiccpp,#1.TotalTrueXiccppTracks,#1.TotalXiccppTracks,#1.TotalBackgroundTracks,#2.TotalTruePions,#2.TotalTrueXiccppPions,#2.TotalXiccppPions,#2.TotalBackgroundPions,#3.TotalTrueKaons,#3.TotalTrueXiccppKaons,#3.TotalXiccppKaons,#3.TotalBackgroundKaons
10,300,500,0.0,0,5782,4588,462053,615339,2887,1882,337998,87865,1912,1738,63876
10,300,1250,0.0,0,5782,4586,461320,615339,2887,1880,337385,87865,1912,1738,63803
10,300,1500,0.0,0,5782,4572,456184,615339,2887,1866,333100,87865,1912,1738,63308
10,300,1750,0.0,0,5782,4556,448140,615339,2887,1852,326460,87865,1912,1736,62493
10,300,1000,0.0,0,5782,4588,462052,615339,2887,1882,337997,87865,1912,1738,63876
10,300,750,0.0,0,5782,4588,462053,615339,2887,1882,337998,87865,1912,1738,63876
10,300,2500,0.0,0,5782,4466,416707,615339,2887,1777,301076,87865,1912,1721,59114
10,300,2750,0.0,0,5782,4410,405828,615339,2887,1734,292480,87865,1912,1708,57868
10,300,2250,0.0,0,5782,4499,427712,615339,2887,1806,309897,87865,1912,1725,60316
10,300,2000,0.0,0,5782,4535,438298,615339,2887,1835,318416,87865,1912,1732,61490
10,300,3750,0.0,0,5782,4216,364405,615339,2887,1607,260333,87865,1912,1641,52809
10,300,3500,0.0,0,5782,4271,374264,615339,2887,1643,267936,87865,1912,1660,54016
10,370,500,0.0,0,5782,4230,383961,615339,2887,1621,274469,87865,1912,1648,55906
10,300,3250,0.0,0,5782,4315,384421,615339,2887,1674,275718,87865,1912,1673,55293
10,300,3000,0.0,0,5782,4365,394992,615339,2887,1706,283922,87865,1912,1691,56606
10,370,1500,0.0,0,5782,4229,383534,615339,2887,1620,274106,87865,1912,1648,55874
10,370,750,0.0,0,5782,4230,383961,615339,2887,1621,274469,87865,1912,1648,55906
10,370,1250,0.0,0,5782,4230,383959,615339,2887,1621,274468,87865,1912,1648,55906
10,370,1750,0.0,0,5782,4222,380110,615339,2887,1614,271320,87865,1912,1647,55486
10,370,1000,0.0,0,5782,4230,383961,615339,2887,1621,274469,87865,1912,1648,55906
10,370,3000,0.0,0,5782,4103,342975,615339,2887,1523,242045,87865,1912,1619,51129
10,370,2750,0.0,0,5782,4136,351211,615339,2887,1543,248476,87865,1912,1632,52121
10,370,2000,0.0,0,5782,4214,374288,615339,2887,1606,266629,87865,1912,1647,54863
10,370,2500,0.0,0,5782,4169,359229,615339,2887,1568,254707,87865,1912,1640,53110
10,370,2250,0.0,0,5782,4188,367157,615339,2887,1583,260963,87865,1912,1644,54031
10,370,3750,0.0,0,5782,3990,318800,615339,2887,1449,223667,87865,1912,1580,48002
10,370,3500,0.0,0,5782,4031,326693,615339,2887,1476,229666,87865,1912,1594,48999
10,370,3250,0.0,0,5782,4067,334696,615339,2887,1500,235707,87865,1912,1606,50062
10,440,500,0.0,0,5782,3917,318511,615339,2887,1403,222623,87865,1912,1559,48407
10,440,750,0.0,0,5782,3917,318511,615339,2887,1403,222623,87865,1912,1559,48407
10,440,1000,0.0,0,5782,3917,318511,615339,2887,1403,222623,87865,1912,1559,48407
10,440,1250,0.0,0,5782,3917,318511,615339,2887,1403,222623,87865,1912,1559,48407
10,440,1500,0.0,0,5782,3917,318510,615339,2887,1403,222622,87865,1912,1559,48407
10,440,2000,0.0,0,5782,3914,315896,615339,2887,1400,220526,87865,1912,1559,48120
10,440,1750,0.0,0,5782,3917,318285,615339,2887,1403,222438,87865,1912,1559,48385
10,440,2500,0.0,0,5782,3885,306451,615339,2887,1375,213117,87865,1912,1555,46948
10,440,2250,0.0,0,5782,3895,311754,615339,2887,1381,217275,87865,1912,1559,47600
10,440,3250,0.0,0,5782,3809,288327,615339,2887,1326,199263,87865,1912,1528,44576
10,440,3000,0.0,0,5782,3835,294642,615339,2887,1342,204037,87865,1912,1538,45433
10,440,2750,0.0,0,5782,3860,300774,615339,2887,1356,208766,87865,1912,1549,46211
10,440,3750,0.0,0,5782,3748,275991,615339,2887,1285,190062,87865,1912,1508,42907
10,440,3500,0.0,0,5782,3780,282183,615339,2887,1307,194707,87865,1912,1518,43720
10,510,500,0.0,0,5782,3612,264453,615339,2887,1225,180902,87865,1912,1446,41699
10,510,750,0.0,0,5782,3612,264453,615339,2887,1225,180902,87865,1912,1446,41699
10,510,1000,0.0,0,5782,3612,264453,615339,2887,1225,180902,87865,1912,1446,41699
10,510,1250,0.0,0,5782,3612,264453,615339,2887,1225,180902,87865,1912,1446,41699
