cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,28281,116550741,1.0,0.2835045862362789,0.000242590815352697
lambdac_combined_momentum,0,0,28281,116550741,1.0,0.2835045862362789,0.000242590815352697
lambdac_charge,131,58201557,28150,58349184,0.9953679148544959,0.28219136885369156,0.00048220770068054154
lambdac_mass_limit,183,55199056,27967,3150128,0.9934991119005329,0.28035687434213824,0.008799925741678585
lambdac_vtx_chi2_ndof,673,2984377,27294,165751,0.9759359244824257,0.27361034534609796,0.14138672330285684
lambdac_vtx_chi2_distance,39,937,27255,164814,0.998571114530666,0.27321938749937347,0.14190212892241852
lambdac_vtx_dira,190,70582,27065,94232,0.9930288020546688,0.2713147210666132,0.22313000321524853
lambdac_final_mass_cut,175,74582,26890,19650,0.9935340846111214,0.2695604230364393,0.5777825526428878
xi_track_cuts,0,0,11638,106098194,1.0,0.1166658312866523,0.00010967880902874297
xi_miss_combo,0,0,11638,106098194,1.0,0.1166658312866523,0.00010967880902874297
xi_charge_conservation,0,0,11638,106098194,1.0,0.1166658312866523,0.00010967880902874297
xi_charge,2,50542586,11636,55555608,0.9998281491665234,0.11664578216630746,0.00020940394308560634
xi_minimum_momentum,0,0,11636,55555608,1.0,0.11664578216630746,0.00020940394308560634
xi_mass,226,55050706,11410,504902,0.980577518047439,0.11438023156733998,0.022099040890004494
xi_vtx_chi2_ndof,2392,334726,9018,170176,0.7903593339176161,0.09040148363490552,0.05032534571470027
xi_vtx_chi2_distance,8,604,9010,169572,0.9991128853404303,0.09032128715352614,0.05045301318161965
xi_vtx_dira,0,0,9010,169572,1.0,0.09032128715352614,0.05045301318161965
xi_final_mass,76,119890,8984,123152,0.9916114790286976,0.09006064858904315,0.06799055518556639
