cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,28281,116550741
lambdac_combined_momentum,0,0,28281,116550741
lambdac_charge,131,58201557,28150,58349184
lambdac_mass_limit,183,55199056,27967,3150128
lambdac_vtx_chi2_ndof,673,2984377,27294,165751
lambdac_vtx_chi2_distance,39,937,27255,164814
lambdac_vtx_dira,190,70582,27065,94232
lambdac_final_mass_cut,175,74582,26890,19650
xi_track_cuts,0,0,11638,106098194
xi_miss_combo,0,0,11638,106098194
xi_charge_conservation,0,0,11638,106098194
xi_charge,2,50542586,11636,55555608
xi_minimum_momentum,0,0,11636,55555608
xi_mass,226,55050706,11410,504902
xi_vtx_chi2_ndof,2392,334726,9018,170176
xi_vtx_chi2_distance,8,604,9010,169572
xi_vtx_dira,0,0,9010,169572
xi_final_mass,76,119890,8984,123152
