cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,27751,142876989
lambdac_combined_momentum,0,0,27751,142876989
lambdac_charge,139,71368058,27612,71508931
lambdac_mass_limit,167,67653104,27445,3855827
lambdac_vtx_chi2_ndof,897,3637135,26548,218692
lambdac_vtx_chi2_distance,21,822,26527,217870
lambdac_vtx_dira,172,97047,26355,120823
lambdac_final_mass_cut,188,95627,26167,25196
xi_track_cuts,0,0,11164,160972066
xi_miss_combo,0,0,11164,160972066
xi_charge_conservation,0,0,11164,160972066
xi_charge,0,76196106,11164,84775960
xi_minimum_momentum,0,0,11164,84775960
xi_mass,202,83980356,10962,795604
xi_vtx_chi2_ndof,2360,570692,8602,224912
xi_vtx_chi2_distance,4,448,8598,224464
xi_vtx_dira,0,0,8598,224464
xi_final_mass,62,159154,8570,163754
