cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,28677,106066613,1.0,0.28747431206455815,0.0002702947510676487
lambdac_mass_limit,175,50212441,28362,2883064,0.9938676104706171,0.2843165756102451,0.009741618024981573
lambdac_vtx_chi2_ndof,590,2739885,27772,143179,0.9791975178055145,0.2784020851085159,0.1624559084182017
lambdac_vtx_chi2_distance,45,1305,27727,141874,0.9983796629698978,0.27795097990075684,0.16348370587437575
lambdac_vtx_dira,209,58486,27518,83388,0.9924622209398781,0.2758558468247206,0.2481200295745947
lambdac_final_mass_cut,172,65860,27346,17528,0.9937495457518715,0.2741316224750639,0.60939519543611
xi_track_cuts,0,0,12086,86384772,1.0,0.12115683424389755,0.00013988934643896424
xi_mass,214,44704936,11872,395772,0.9822935627999339,0.11901157836699915,0.029123450854176683
xi_vtx_chi2_ndof,2570,252326,9302,143446,0.7835242587601078,0.0932484587238735,0.06089768769476524
xi_vtx_chi2_distance,18,654,9284,142792,0.9980649322726295,0.09306801664076989,0.061048423156842634
xi_vtx_dira,0,0,9284,142792,1.0,0.09306801664076989,0.061048423156842634
xi_final_mass,88,100724,9250,103034,0.990576140501178,0.09272718159490752,0.08238039257596808
