cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,1400,5869552
lambdac_combined_momentum,98,2262356,1302,3607196
lambdac_charge,6,1800632,1296,1806564
lambdac_mass_limit,11,1703307,1285,103257
lambdac_vtx_chi2_ndof,34,96679,1251,6578
lambdac_vtx_chi2_distance,3,46,1248,6532
lambdac_vtx_dira,9,2340,1239,4192
lambdac_final_mass_cut,9,3842,1230,350
xi_track_cuts,0,0,516,3442872
xi_miss_combo,0,0,516,3442872
xi_charge_conservation,0,0,516,3442872
xi_charge,0,1792006,516,1650866
xi_minimum_momentum,0,0,516,1650866
xi_mass,2,1595100,514,55766
xi_vtx_chi2_ndof,0,25700,514,30066
xi_vtx_chi2_distance,2,146,512,29920
xi_vtx_dira,0,0,512,29920
xi_final_mass,18,27816,512,29920
