Variable,Value
lambdac_signal_combined_momentum_kills,100.0
lambdac_bkg_combined_momentum_kills,2357991.0
lambdac_signal_combined_momentum_remaining,1341.0
lambdac_bkg_combined_momentum_remaining,3749725.0
lambdac_combined_momentum_purity,0.000357498375128551
lambdac_signal_charge_kills,0.0
lambdac_bkg_charge_kills,0.0
lambdac_sig_charge_remaining,1335.0
lambdac_bkg_charge_remaining,1877729.0
lambdac_charge_efficiency,0.9955257270693513
lambdac_charge_purity,0.0007104601014121803
lambdac_mass_limit_signal_kills,11.0
lambdac_mass_limit_bkg_kills,1770228.0
lambdac_mass_limit_signal_remaining,1324.0
lambdac_mass_limit_bkg_remaining,107501.0
lambdac_mass_limit_efficiency,0.9917602996254682
lambdac_mass_limit_purity,0.012166322076728742
lambdac_vtx_chi2_ndof_signal_kills,25.0
lambdac_vtx_chi2_ndof_bkg_kills,98628.0
lambdac_vtx_chi2_ndof_signal_remaining,1299.0
lambdac_vtx_chi2_ndof_bkg_remaining,8873.0
lambdac_vtx_chi2_ndof_efficiency,0.9811178247734139
lambdac_vtx_chi2_ndof_purity,0.1277034998033818
lambdac_vtx_chi2_distance_sig_kills,4.0
lambdac_vtx_chi2_distance_bkg_kills,70.0
lambdac_vtx_chi2_distance_sig_remaining,1295.0
lambdac_vtx_chi2_distance_bkg_remaining,8803.0
lambdac_vtx_chi2_distance_efficiency,0.9969207082371054
lambdac_vtx_chi2_distance_purity,0.12824321647851056
lambdac_vtx_dira_sig_kills,34.0
lambdac_vtx_dira_bkg_kills,4918.0
lambdac_vtx_dira_sig_remaining,1261.0
lambdac_vtx_dira_bkg_remaining,3885.0
lambdac_vtx_dira_efficiency,0.9737451737451738
lambdac_vtx_dira_purity,0.24504469490866687
lambdac_final_mass_cut_signal_kills,5.0
lambdac_final_mass_cut_bkg_kills,3479.0
lambdac_final_mass_cut_signal_remaining,1256.0
lambdac_final_mass_cut_bkg_remaining,406.0
lambdac_final_mass_cut_efficiency,0.9960348929421095
lambdac_final_mass_cut_purity,0.7557160048134777
xiccpp_miss_combo_sig_kills,0.0
xiccpp_miss_combo_bkg_kills,0.0
xiccpp_miss_combo_sig_remaining,532.0
xiccpp_miss_combo_bkg_remaining,3615460.0
xiccpp_miss_combo_efficiency,0.42356687898089174
xiccpp_miss_combo_purity,0.00014712421930140884
xi_charge_conservation_signal_kills,0.0
xi_charge_conservation_bkg_kills,0.0
xi_charge_conservation_signal_remaining,532.0
xi_charge_conservation_bkg_remaining,3615460.0
xi_charge_conservation_efficiency,1.0
xi_charge_conservation_purity,0.00014712421930140884
xi_charge_sig_kills,0.0
xi_charge_bkg_kills,1875212.0
xi_charge_sig_remaining,532.0
xi_charge_bkg_remaining,1740248.0
xi_charge_efficiency,1.0
xi_charge_purity,0.00030561012879282146
xi_signal_minimum_momentum_kills,74.0
xi_bkg_minimum_momentum_kills,316104.0
xi_sig_minimum_momentum_remaining,458.0
xi_bkg_minimum_momentum_remaining,1424144.0
xi_minimum_momentum_efficiency,0.8609022556390977
xi_minimum_momentum_purity,0.00032149330128694587
xi_mass_sig_kills,2.0
xi_mass_bkg_kills,1397480.0
xi_mass_sig_remaining,456.0
xi_mass_bkg_remaining,26664.0
xi_mass_efficiency,0.9956331877729258
xi_mass_purity,0.016814159292035447
xi_vtx_chi2_ndof_sig_kills,0.0
xi_vtx_chi2_ndof_bkg_kills,10496.0
xi_vtx_chi2_ndof_sig_remaining,456.0
xi_vtx_chi2_ndof_bkg_remaining,16168.0
xi_vtx_chi2_ndof_efficiency,1.0
xi_vtx_chi2_ndof_purity,0.027430221366698704
xi_vtx_chi2_distance_sig_kills,0.0
xi_chi2_disatance_bkg_kills,48.0
xi_vtx_chi2_distance_sig_remaining,456.0
xi_chi2_disatance_bkg_remaining,16120.0
xi_vtx_chi2_distance_efficiency,1.0
xi_vtx_chi2_distance_purity,0.027509652509652538
xi_vtx_dira_sig_kills,4.0
xi_vtx_dira_bkg_kills,1204.0
xi_vtx_dira_sig_remaining,452.0
xi_vtx_dira_bkg_remaining,14916.0
xi_vtx_dira_efficiency,0.9912280701754386
xi_vtx_dira_purity,0.02941176470588236
