cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,28126,129368004
lambdac_combined_momentum,0,0,28126,129368004
lambdac_charge,146,64612768,27980,64755236
lambdac_mass_limit,173,61262848,27807,3492388
lambdac_vtx_chi2_ndof,792,3302632,27015,189756
lambdac_vtx_chi2_distance,31,924,26984,188832
lambdac_vtx_dira,174,82404,26810,106428
lambdac_final_mass_cut,175,84262,26635,22166
xi_track_cuts,0,0,11226,129630438
xi_miss_combo,0,0,11226,129630438
xi_charge_conservation,0,0,11226,129630438
xi_charge,0,61439826,11226,68190612
xi_minimum_momentum,0,0,11226,68190612
xi_mass,190,67564106,11036,626506
xi_vtx_chi2_ndof,2394,433322,8642,193184
xi_vtx_chi2_distance,10,524,8632,192660
xi_vtx_dira,0,0,8632,192660
xi_final_mass,84,136606,8598,140494
