cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,20044,59794027,1.0,0.20093228409603528,0.0003351050959229978
lambdac_mass_limit,107,28603151,19853,1335332,0.9946392785571142,0.1990175931031026,0.014649660378472313
lambdac_vtx_chi2_ndof,776,1260434,19077,74898,0.9609127084067899,0.1912385344093028,0.20300079808459698
lambdac_vtx_chi2_distance,244,20354,18833,54544,0.9872097289930283,0.18879254172723173,0.25666080651975415
lambdac_vtx_dira,68,20747,18765,33797,0.996389316625073,0.188110871635507,0.35700696320535746
lambdac_final_mass_cut,278,26605,18487,7192,0.9851851851851852,0.18532404390757357,0.7199267884263406
xi_track_cuts,0,0,6858,62474126,1.0,0.06874843366247306,0.00010976139556316846
xi_mass,112,32559022,6746,212426,0.9836687080781569,0.06762568292316175,0.03077947913054587
xi_vtx_chi2_ndof,1338,141144,5408,71282,0.8016602431070264,0.054212821412460525,0.07051766853566306
xi_vtx_chi2_distance,28,4044,5380,67238,0.9948224852071006,0.0539321337276327,0.07408631468781844
xi_vtx_dira,0,0,5380,67238,1.0,0.0539321337276327,0.07408631468781844
xi_final_mass,26,47340,5364,47926,0.9951762523191094,0.05377174076487394,0.10065678363670483
