cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,23942,88143749
lambdac_combined_momentum,0,0,23942,88143749
lambdac_charge,116,44017130,23826,44126619
lambdac_mass_limit,157,42105239,23669,2021380
lambdac_vtx_chi2_ndof,732,1900808,22937,120572
lambdac_vtx_chi2_distance,384,37524,22553,83048
lambdac_vtx_dira,117,33090,22436,49958
lambdac_final_mass_cut,359,39414,22077,10544
xi_track_cuts,0,0,9046,87851494
xi_miss_combo,0,0,9046,87851494
xi_charge_conservation,0,0,9046,87851494
xi_charge,0,41089670,9046,46761824
xi_minimum_momentum,0,0,9046,46761824
xi_mass,138,46418036,8908,343788
xi_vtx_chi2_ndof,1718,223944,7190,119844
xi_vtx_chi2_distance,46,8822,7144,111022
xi_vtx_dira,0,0,7144,111022
xi_final_mass,42,78116,7128,79746
