cut,sig_kills,bkg_kills,sig_remains,bkg_remains,CutEfficiency,AbsEfficiency,AbsPurity
displaced_track_cuts,0,0,23942,88143749,1.0,0.24000801964813795,0.0002715507203199866
lambdac_mass_limit,157,42105239,23669,2021380,0.9934105598925543,0.2372713147210666,0.011573805811009908
lambdac_vtx_chi2_ndof,732,1900808,22937,120572,0.9690734716295577,0.22993333667485338,0.15982969709216843
lambdac_vtx_chi2_distance,384,37524,22553,83048,0.9832584906482975,0.22608390556864316,0.2135680533328283
lambdac_vtx_dira,117,33090,22436,49958,0.9948122201037556,0.22491103202846974,0.3099151863414095
lambdac_final_mass_cut,359,39414,22077,10544,0.9839989302906044,0.2213122149265701,0.676772631127188
xi_track_cuts,0,0,9046,87851494,1.0,0.09068217131973334,0.00010295862055935463
xi_mass,138,46418036,8908,343788,0.9847446385142604,0.08929878201593905,0.025256878444893053
xi_vtx_chi2_ndof,1718,223944,7190,119844,0.807139649753031,0.0720765876397173,0.05659902073460649
xi_vtx_chi2_distance,46,8822,7144,111022,0.9936022253129346,0.07161545787178587,0.06045732274935261
xi_vtx_dira,0,0,7144,111022,1.0,0.07161545787178587,0.06045732274935261
xi_final_mass,42,78116,7128,79746,0.994142259414226,0.07145506490902712,0.08204986532219076
