cut,sig_kills,bkg_kills,sig_remains,bkg_remains
displaced_track_cuts,0,0,28677,106066613
lambdac_combined_momentum,0,0,28677,106066613
lambdac_charge,140,52971108,28537,53095505
lambdac_mass_limit,175,50212441,28362,2883064
lambdac_vtx_chi2_ndof,590,2739885,27772,143179
lambdac_vtx_chi2_distance,45,1305,27727,141874
lambdac_vtx_dira,209,58486,27518,83388
lambdac_final_mass_cut,172,65860,27346,17528
xi_track_cuts,0,0,12086,86384772
xi_miss_combo,0,0,12086,86384772
xi_charge_conservation,0,0,12086,86384772
xi_charge,0,41284064,12086,45100708
xi_minimum_momentum,0,0,12086,45100708
xi_mass,214,44704936,11872,395772
xi_vtx_chi2_ndof,2570,252326,9302,143446
xi_vtx_chi2_distance,18,654,9284,142792
xi_vtx_dira,0,0,9284,142792
xi_final_mass,88,100724,9250,103034
